Ticker,Aciton,DayCount,Sign,Percantage
AAPL,HAFİF AL,10,+,3.26
MSFT,HAFİF SAT,10,-,4.01
AMZN,TUT,10,+,1.21
GOOGL,SAT,10,-,5.44
META,SAT,10,-,8.03
TSLA,GÜÇLÜ SAT,10,-,29.97
NVDA,SAT,10,-,9.70
V,HAFİF SAT,10,-,3.89


3y, LSTM
