Ticker,Aciton,DayCount,Sign,Percantage
AAPL,HAFİF SAT,10,-,4.68
MSFT,HAFİF AL,10,+,4.11
AMZN,SAT,10,-,9.49
GOOGL,TUT,10,+,0.72
META,GÜÇLÜ SAT,10,-,22.94
TSLA,SAT,10,-,9.58
NVDA,SAT,10,-,8.07
V,HAFİF AL,10,+,3.47


5y, GRU
