Ticker,Aciton,DayCount,Sign,Percantage
AAPL,TUT,10,+,0.99
MSFT,TUT,10,+,0.92
AMZN,SAT,10,-,5.75
GOOGL,HAFİF SAT,10,-,3.88
META,AL,10,+,7.06
TSLA,GÜÇLÜ SAT,10,-,17.02
NVDA,GÜÇLÜ SAT,10,-,10.35
V,HAFİF SAT,10,-,4.35


3y, GRU
